Name of movie,Year of release,Watchtime,Movie Ratings,Votes,Gross collection
The Shawshank Redemption,1994,142 ,9.3,"2,459,546",$28.34M
The Godfather,1972,175 ,9.2,"1,701,496",$134.97M
Soorarai Pottru,2020,153 ,9.1,"89,652",***
The Dark Knight,2008,152 ,9.0,"2,415,095",$534.86M
The Godfather: Part II,1974,202 ,9.0,"1,181,807",$57.30M
12 Angry Men,1957,96 ,9.0,"728,147",$4.36M
Dara iz Jasenovca,2020,130 ,8.9,"79,155",***
The Lord of the Rings: The Return of the King,2003,201 ,8.9,"1,707,289",$377.85M
Pulp Fiction,1994,154 ,8.9,"1,905,521",$107.93M
Schindler's List,1993,195 ,8.9,"1,264,581",$96.90M
Inception,2010,148 ,8.8,"2,166,672",$292.58M
Shershaah,2021,135 ,8.8,"99,384",***
Fight Club,1999,139 ,8.8,"1,937,287",$37.03M
The Lord of the Rings: The Fellowship of the Ring,2001,178 ,8.8,"1,728,575",$315.54M
Forrest Gump,1994,142 ,8.8,"1,901,663",$330.25M
"Il buono, il brutto, il cattivo",1966,161 ,8.8,"716,737",$6.10M
The Lord of the Rings: The Two Towers,2002,179 ,8.7,"1,543,547",$342.55M
The Matrix,1999,136 ,8.7,"1,752,485",$171.48M
Goodfellas,1990,146 ,8.7,"1,068,108",$46.84M
Star Wars: Episode V - The Empire Strikes Back,1980,124 ,8.7,"1,203,470",$290.48M
One Flew Over the Cuckoo's Nest,1975,133 ,8.7,"952,803",$112.00M
Gisaengchung,2019,132 ,8.6,"656,804",$53.37M
Drishyam 2,2021,152 ,8.6,"30,621",***
Interstellar,2014,169 ,8.6,"1,611,207",$188.02M
Cidade de Deus,2002,130 ,8.6,"721,099",$7.56M
Sen to Chihiro no kamikakushi,2001,125 ,8.6,"692,117",$10.06M
Saving Private Ryan,1998,169 ,8.6,"1,290,038",$216.54M
The Green Mile,1999,189 ,8.6,"1,201,569",$136.80M
La vita è bella,1997,116 ,8.6,"651,040",$57.60M
Se7en,1995,127 ,8.6,"1,513,949",$100.13M
The Silence of the Lambs,1991,118 ,8.6,"1,329,609",$130.74M
Star Wars,1977,121 ,8.6,"1,275,320",$322.74M
Seppuku,1962,133 ,8.6,"48,827",***
Shichinin no samurai,1954,207 ,8.6,"328,464",$0.27M
It's a Wonderful Life,1946,130 ,8.6,"421,850",***
